File Date,11/30/2017
NPA_ID,type_of_code,        ASSIGNABLE,EXPLANATION,RESERVED,ASSIGNED,ASSIGNMENT_DT,USE,LOCATION,COUNTRY,IN_SERVICE,IN_SERVICE_DT,STATUS,PLANNING_LETTERS,"NOTES",OVERLAY,OVERLAY_COMPLEX,PARENT_NPA_ID,SERVICE,TIME_ZONE,AREA_SERVED,MAP,IN_JEOPARDY,RELIEF_PLANNING_IN_PROGRESS,HOME_NPA_LOCAL_CALLS,HOME_NPA_TOLL_CALLS,FOREIGN_NPA_LOCAL_CALLS,FOREIGN_NPA_TOLL_CALLS,PERM_HNPA_LOCAL_CALLS,PERM_HNPA_TOLL_CALLS,PERM_HNPA_FOREIGN_LOCAL_CALLS,"DIALING_PLAN_NOTES"
200,Easily Recognizable Code,Yes,,No,No,,N,,,N,,,,"",,,,,,,,,No,,,,,,,,""
201,General Purpose Code,Yes,,No,Yes,01-JAN-47,G,NJ,US,Y,01-JAN-47,,277,"",Yes,201/551,,,E,,277,No,No,10D,10D,1+10D,1+10D,1+10D,NA,NA,"Calls between the 551 and 201 NPAs may be dialed as 10D."
202,General Purpose Code,Yes,,No,Yes,01-JAN-47,G,DC,US,Y,01-JAN-47,,,"",No,,,,E,,,No,No,7D,NA,10D,1+10D,NA,NA,NA,""
203,General Purpose Code,Yes,,No,Yes,01-JAN-47,G,CT,US,Y,01-JAN-47,,388 255 217 138,"",Yes,203/475,,,E,,217,No,No,10D,1+10D,10D,1+10D,1+10D,NA,1+10D,""
204,General Purpose Code,Yes,,No,Yes,01-JAN-47,G,MANITOBA,CANADA,Y,01-JAN-47,Active,435 433 419,"",Yes,204/431,,,C,,435,No,Yes,10D,1+10D,10D,1+10D,NA,NA,NA,""
205,General Purpose Code,Yes,,No,Yes,01-JAN-47,G,AL,US,Y,01-JAN-47,,289 284,"",Yes,205/659,,,C,,284,No,No,7D,1+10D,10D,1+10D,NA,NA,NA,""
206,General Purpose Code,Yes,,No,Yes,01-JAN-47,G,WA,US,Y,01-JAN-47,,492 298 239,"",No,,,,P,,,No,No,10D,1+10D,10D,1+10D,10D,NA,1+10D,""
207,General Purpose Code,Yes,,No,Yes,01-JAN-47,G,ME,US,Y,01-JAN-47,,,"",No,,,,E,,,No,No,7D,7D,1+10D,1+10D,1+10D,1+10D,NA,""
208,General Purpose Code,Yes,,No,Yes,01-JAN-47,G,ID,US,Y,01-JAN-47,,490,"",Yes,208/986,,,MP,,490,No,No,10D,1+10D,10D,1+10D,NA,NA,NA,""
209,General Purpose Code,Yes,,No,Yes,01-JAN-58,G,CA,US,Y,01-JAN-58,,,"",No,,916,,P,,,No,No,7D,7D,1+10D,1+10D,1+10D,1+10D,NA,""
